,Date,Open,High,Low,Close,Adj Close,Volume,volume_cmf,volume_em,volume_sma_em,volatility_bbh,volatility_bbl,volatility_bbm,volatility_bbhi,volatility_bbli,volatility_kcc,volatility_kch,volatility_kcl,volatility_kchi,volatility_kcli,trend_macd,trend_macd_signal,trend_macd_diff,trend_ichimoku_a,trend_ichimoku_b,momentum_rsi,momentum_stoch,momentum_stoch_signal,Zero,rsi_high,rsi_low,cmf_high,cmf_low,keltner_indicator,bbands_indicator,ichimoku_label,macd_indicator,ease_label,stochastic_label,rsi_label,cmf_label,dow_labels
0,1/29/1985,1277.719971,1295.48999,1266.890015,1292.619995,1292.619995,13560000,0.799300873514749,0.0,0.0,1292.619995,1292.619995,1292.619995,0.0,0.0,1285.0,1285.0,1256.400025,0.0,0.0,0.0,0.0,0.0,1281.1900025,1281.1900025,50.0,89.96504367573745,89.96504367573745,0,70,30,0.05,-0.05,1,0.0,0,0,0,0,0,0,1.0
1,1/30/1985,1297.369995,1305.099976,1278.930054,1287.880005,1287.880005,16820000,0.18180352818489948,1684.2433577528202,1684.2433577528202,1294.98999,1285.51001,1290.25,0.0,0.0,1287.8183391666666,1287.8183391666666,1260.4333906666666,0.0,0.0,0.3781188603988994,0.07562377207977988,0.30249508831911953,1285.9949955,1285.9949955,0.0,54.9332934414668,72.44916855860212,0,70,30,0.05,-0.05,1,0.0,0,0,0,0,0,0,0.0
2,1/31/1985,1283.23999,1293.400024,1272.640015,1286.77002,1286.77002,14070000,0.23861152184251508,-1327.1939412577071,178.52470824755653,1294.1637639595501,1284.016249373783,1289.0900066666666,0.0,0.0,1286.635566,1286.635566,1261.4589306666667,0.0,0.0,0.7586025959203653,0.21221953684789696,0.5463830590724683,1285.9949955,1285.9949955,0.0,52.028331041740586,65.64222271964827,0,70,30,0.05,-0.05,1,0.0,0,0,-1,0,0,0,1.0
3,2/1/1985,1276.939941,1286.109985,1269.77002,1277.719971,1277.719971,10980000,0.1860106820075991,-755.9863386102511,-132.97897403837933,1297.0301478461624,1275.4648476538378,1286.24749775,0.0,0.0,1284.4433391666666,1284.4433391666666,1261.4758714166667,0.0,0.0,1.769998575649197,0.523775344608157,1.24622323104104,1285.9949955,1285.9949955,0.0,28.343279387278184,45.101634623495194,0,70,30,0.05,-0.05,0,0.0,0,0,0,0,0,0,1.0
4,2/4/1985,1272.079956,1294.939941,1268.98999,1290.079956,1290.079956,11630000,0.2622184496077684,898.0876408152627,124.78767967503117,1297.1338997587595,1276.8940790412403,1287.0139894,0.0,0.0,1284.4886638,1284.4886638,1260.9246994,0.0,0.0,1.5562501999306733,0.7302703156726602,0.825979884258013,1285.9949955,1285.9949955,48.440549167374876,60.690826143476244,47.02081219083167,0,70,30,0.05,-0.05,1,0.0,0,0,1,1,1,0,-1.0
5,2/5/1985,1294.060059,1301.130005,1278.599976,1285.22998,1285.22998,13800000,0.14724628224319125,1289.7666112371244,357.78346598744986,1296.0500345011717,1277.3832744988283,1286.7166545,0.0,0.0,1285.1272176666666,1285.1272176666666,1261.7355758333335,0.0,0.0,1.757941151148998,0.9358044827679277,0.8221366683810702,1285.9949955,1285.9949955,40.20967519143602,47.99786369842175,45.677323076392064,0,70,30,0.05,-0.05,1,0.0,0,0,0,0,0,0,-1.0
6,2/6/1985,1284.890015,1294.5,1275.069946,1280.589966,1280.589966,14610000,0.05863254053765378,-675.5990030523167,185.55305448082208,1295.4877880322379,1276.1950385391906,1285.8414132857142,0.0,0.0,1284.8785633333334,1284.8785633333334,1262.0528626190478,0.0,0.0,2.266071176734613,1.2018578215612647,1.0642133551733481,1285.9949955,1285.9949955,34.21908429107363,35.85439671084733,48.18102885091511,0,70,30,0.05,-0.05,0,0.0,0,0,-1,-1,0,0,1.0
7,2/7/1985,1285.0,1297.040039,1279.810059,1290.079956,1290.079956,11440000,0.0729139405377467,548.2380828538345,237.3652013912524,1295.8200814217653,1276.9223808282345,1286.371231125,0.0,0.0,1285.3908285,1285.3908285,1263.264592875,0.0,0.0,1.881318334367279,1.3377499241224675,0.5435684102448115,1285.9949955,1285.9949955,50.47171126310946,60.690826143476244,48.18102885091511,0,70,30,0.05,-0.05,1,0.0,0,0,1,1,0,0,1.0
8,2/8/1985,1290.079956,1297.150024,1281.359985,1289.969971,1289.969971,8000000,0.07414239692796763,163.81287141582504,228.171160144324,1295.962233718664,1277.579948503558,1286.771091111111,0.0,0.0,1285.8466616296296,1285.8466616296296,1264.424447851852,0.0,0.0,1.5672080067647585,1.3836415406509257,0.18356646611383276,1285.9949955,1285.9949955,50.316548721402526,60.40298235321419,52.31606840251259,0,70,30,0.05,-0.05,1,0.0,0,0,0,0,0,0,-1.0
9,2/11/1985,1287.98999,1291.73999,1268.660034,1276.060059,1276.060059,12600000,0.031365918236673514,-1658.6414958756422,18.525309475438867,1296.5319234328506,1274.8680523671494,1285.6999879,0.0,0.0,1285.1439982333334,1285.1439982333334,1263.5560102333334,0.0,0.0,2.412872861130154,1.5894878047467715,0.8233850563833824,1286.43750025,1285.9949955,35.46638152036939,23.9990928020051,48.36430043289851,0,70,30,0.05,-0.05,0,0.0,0,0,-1,-1,0,0,0.0
10,2/12/1985,1271.199951,1283.130005,1266.339966,1276.609985,1276.609985,11870000,0.04771554739055424,-773.0244993347411,-60.62967140557913,1296.4485745546813,1273.2986734453184,1284.8736239999998,0.0,0.0,1284.1799967666666,1284.1799967666666,1263.7730023666668,0.0,0.0,3.004064928098842,1.8724032294171857,1.1316616986816561,1284.7274782499999,1285.719971,36.26722543271597,26.496430212479453,36.96616845589958,0,70,30,0.05,-0.05,0,0.0,-1,0,0,0,0,0,1.0
11,2/13/1985,1277.829956,1304.660034,1274.51001,1297.920044,1297.920044,14050000,0.09397694457370676,3186.6829670880857,234.58056845748132,1299.1828849640742,1272.7387663692589,1285.9608256666666,0.0,0.0,1284.3526652,1284.3526652,1263.5476606,0.0,0.0,1.7330675113009875,1.8445360857939461,-0.11146857449295866,1285.6099855,1285.719971,58.01190838433817,81.47592841178314,43.9904838087559,0,70,30,0.05,-0.05,1,0.0,0,-1,1,1,0,1,1.0
12,2/14/1985,1301.790039,1307.530029,1283.680054,1287.880005,1287.880005,14020000,0.0318703601593245,1024.0892623003763,300.3729596110559,1298.852907378509,1273.3640023137987,1286.1084548461538,0.0,0.0,1285.2286661666667,1285.2286661666667,1264.1146649666666,0.0,0.0,1.5184365492937104,1.7793161784938991,-0.2608796292001887,1286.9349975,1286.9349975,49.451320699315,52.29426087549314,53.42220649991858,0,70,30,0.05,-0.05,1,0.0,0,0,0,-1,0,0,1.0
13,2/15/1985,1289.199951,1296.27002,1275.069946,1282.02002,1282.02002,8730000,0.01322878799213774,-2412.64576625804,91.67921146727926,1298.276529588559,1273.3563179828695,1285.8164237857143,0.0,0.0,1285.8873331666668,1285.8873331666668,1264.2873210666667,0.0,0.0,1.8004374588401788,1.7835404345631551,0.016897024277023664,1286.9349975,1286.9349975,45.25384933392484,38.06756498527309,57.27925142418312,0,70,30,0.05,-0.05,0,0.0,0,1,-1,0,0,0,1.0
14,2/19/1985,1279.810059,1287.430054,1273.52002,1280.589966,1280.589966,6690000,0.013349360549748033,-1080.147615667638,7.977295243356593,1297.7847529244132,1273.15123360892,1285.4679932666666,0.0,0.0,1285.4716716,1285.4716716,1265.0756512,0.0,0.0,2.114938918355392,1.8498201313216027,0.26511878703378944,1286.9349975,1286.9349975,44.26637810087834,34.59572275963743,41.65251620680122,0,70,30,0.05,-0.05,0,0.0,0,0,0,0,0,0,1.0
15,2/20/1985,1280.150024,1292.51001,1272.530029,1283.130005,1283.130005,10760000,0.016000617610434937,379.7278020012417,-85.2023873103276,1297.3011133841862,1273.3426246158135,1285.3218689999999,0.0,0.0,1284.9120077,1284.9120077,1264.7709921,0.0,0.0,2.1346171340057936,1.906779531858441,0.2278376021473525,1286.9349975,1286.9349975,46.499435673589616,40.762353288947324,37.80854701128595,0,70,30,0.05,-0.05,0,0.0,0,0,1,1,0,0,1.0
16,2/21/1985,1280.369995,1287.099976,1272.640015,1279.040039,1279.040039,8600000,0.010438478098981007,-445.5726010356336,-22.229434437322343,1296.9440066300556,1272.9606925464147,1284.9523495882352,0.0,0.0,1284.5326783,1284.5326783,1264.888672,0.0,0.0,2.451973512261702,2.0158183279390935,0.4361551843226086,1286.9349975,1286.9349975,43.47863187137799,30.832856458607438,35.3969775023974,0,70,30,0.05,-0.05,0,0.0,0,0,-1,-1,0,0,1.0
17,2/22/1985,1277.939941,1286.550049,1269.98999,1275.839966,1275.839966,8500000,-0.0018205183178767737,-311.7140818656865,9.504298187289416,1296.825046626694,1272.0671654844168,1284.4461060555554,0.0,0.0,1283.38101,1283.38101,1263.8039958000002,0.0,0.0,2.927948309900785,2.198244324331432,0.729703985569353,1286.9349975,1286.9349975,41.22215739523261,23.063815173091623,31.553008306882134,0,70,30,0.05,-0.05,0,0.0,0,0,0,0,0,0,1.0
18,2/25/1985,1269.98999,1283.130005,1263.910034,1277.5,1277.5,8420000,0.01416157682075253,-1084.2620219714959,-132.09210629747903,1296.5222235922217,1271.6388194604094,1284.0805215263156,0.0,0.0,1281.9163453,1281.9163453,1261.9963379,0.0,0.0,3.135071740416606,2.385609807548467,0.7494619328681393,1285.7200315,1285.7200315,42.87829900268153,31.15535891281051,28.350676848169865,0,70,30,0.05,-0.05,0,0.0,0,0,0,1,0,0,1.0
19,2/26/1985,1276.280029,1293.180054,1272.310059,1286.109985,1286.109985,11910000,0.030053127911780053,1616.511134045455,-108.75321181116972,1296.34088897375,1272.0231004262498,1284.1819947,0.0,0.0,1282.4210124666668,1282.4210124666668,1262.7220011666666,0.0,0.0,2.5747842088790094,2.4234446878145754,0.15133952106443394,1285.7200315,1285.7200315,50.6457493228399,50.89397878197842,35.037717622626865,0,70,30,0.05,-0.05,1,0.0,0,0,1,0,0,0,-1.0
20,2/27/1985,1285.670044,1295.27002,1274.400024,1281.030029,1281.030029,11900000,-0.035892031278311046,366.5342153373033,-34.31512478333972,1295.188800581388,1272.0161922186116,1283.6024963999998,0.0,0.0,1283.2416830333336,1283.2416830333336,1263.1346760333333,0.0,0.0,2.5117088812198745,2.441097526495635,0.0706113547242393,1285.7200315,1285.7200315,46.61790783659446,39.24804438881758,40.432460694535514,0,70,30,0.05,-0.05,0,0.0,0,0,0,-1,0,0,-1.0
21,2/28/1985,1278.050049,1288.319946,1271.420044,1284.01001,1284.01001,8790000,0.006271478257520363,-954.590099287303,-141.6599949362781,1294.8311887983084,1271.9868045016917,1283.40899665,0.0,0.0,1282.130346766667,1282.130346766667,1263.3483519666665,0.0,0.0,2.1959481443791447,2.3920676500723372,-0.1961195056931926,1282.90502925,1285.7200315,49.17163075287509,46.07973017878604,45.40725111652736,0,70,30,0.05,-0.05,1,0.0,0,-1,-1,1,0,0,-1.0
22,3/1/1985,1285.339966,1309.959961,1282.689941,1299.359985,1299.359985,14730000,-0.0018736414830702087,3046.3474488738625,64.23533202501027,1297.3617419352531,1270.7152478647467,1284.0384949,1.0,0.0,1282.5610067333334,1282.5610067333334,1263.4370074333333,0.0,0.0,0.6990327734140465,2.053460674740679,-1.3544279013266327,1286.9349975,1286.9349975,59.83132116240849,76.98155743004769,54.103110665883776,0,70,30,0.05,-0.05,1,1.0,0,0,1,0,0,0,-1.0
23,3/4/1985,1299.910034,1304.550049,1283.130005,1289.530029,1289.530029,12010000,-0.02220675304633538,-443.19051970572747,151.0532588942899,1297.825996601321,1271.4319989986789,1284.6289978,0.0,0.0,1283.356009966667,1283.356009966667,1264.2100136666666,0.0,0.0,0.3024256790861273,1.7032536756097687,-1.4008279965236414,1286.9349975,1286.9349975,52.271189129816165,55.635256490200305,59.56551469967801,0,70,30,0.05,-0.05,1,0.0,0,0,-1,-1,0,0,-1.0
24,3/5/1985,1290.079956,1300.02002,1281.030029,1291.849976,1291.849976,10060000,-0.04886650437369776,-625.7640918486786,161.57185942900864,1298.082204701269,1271.3527928987314,1284.7174988000002,0.0,0.0,1284.4013428000003,1284.4013428000003,1264.7473507999998,0.0,0.0,-0.19681981851067576,1.3232389767856798,-1.5200587952963556,1286.9349975,1286.9349975,53.75631874783742,60.673151555701615,64.42998849198321,0,70,30,0.05,-0.05,1,0.0,0,0,0,0,0,0,-1.0
25,3/6/1985,1291.849976,1296.930054,1275.51001,1280.369995,1280.369995,10990000,-0.050980309209732635,-839.0639560479563,-125.98149222356577,1297.9691947947078,1270.9798043052922,1284.47449955,0.0,0.0,1284.5560099666668,1284.5560099666668,1264.7580116666663,0.0,0.0,0.33005834512164256,1.1246028504528722,-0.7945445053312297,1286.9349975,1286.9349975,46.11038874374691,35.743728757702506,50.68404560120149,0,70,30,0.05,-0.05,0,0.0,0,0,0,0,0,-1,-1.0
26,3/7/1985,1276.829956,1283.23999,1265.459961,1271.530029,1271.530029,9870000,-0.03725572552370915,-2138.2973536133454,-351.8662505031173,1298.5741628879812,1269.4688425120191,1284.0215027000002,0.0,0.0,1283.9376749666667,1283.9376749666667,1263.8076698666664,0.0,0.0,1.4442757514418645,1.1885374306506706,0.25573832079119385,1286.9349975,1286.9349975,41.24551436680227,16.547246643843785,37.654708985749316,0,70,30,0.05,-0.05,0,0.0,0,1,0,0,0,0,-1.0
